Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
WP Sumo Jump Squats,,,,,,,,,
WP Sumo Squat,,,,,,,,,
WP Straight Leg Twist Crunch,,,,,,,,,
Wall Sit with OH Band Pull Aparts,,,,,,,,,
Wp Split Squat Right,,,,,,,,,
Wall Press Abs Bilateral,,,,,,,,,
Wall Alternating Hip Extension,,,,,,,,,
Step Split Squat with Lateral Raise Right,,,,,,,,,
WP Twist Crunch,,,,,,,,,
Wall Sit with Alt Knee Extension,,,,,,,,,
Step Barbell Split Squat Left,,,,,,,,,
