Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
db up down w mod pushup and row,,,,,,,,,
db up down w pushup and jump squat,,,,,,,,,
db up down w pushup and row,,,,,,,,,
db up down w row,,,,,,,,,
db up down with curl and oh press,,,,,,,,,
db up down with row & jump squat,,,,,,,,,
db upright row,,,,,,,,,
db v sit hold with partial rep bicep curl with 1 foot on floor,,,,,,,,,
db v sit hold with partial rep bicep curl,,,,,,,,,
db wall sit with alternating curl,,,,,,,,,
db wall sit with curl and overhead press,,,,,,,,,
db wall sit with curl,,,,,,,,,
db wall sit with fast alternating curl,,,,,,,,,
db wall sit with hammer curl,,,,,,,,,
diagonal half up down,,,,,,,,,
dot jump with 180 turn,,,,,,,,,
dot jumps with no turn,,,,,,,,,
dot run,,,,,,,,,
double bicycle crunch,,,,,,,,,
dumbbell modified push up hold with row,,,,,,,,,
elbow to knee twist crunch with left only,,,,,,,,,
elbow to knee twist crunch with right only,,,,,,,,,
elbow to knee twist crunch,,,,,,,,,
gremlin run,,,,,,,,,
hack squat hold,,,,,,,,,
hack squat sumo squat combo,,,,,,,,,
half ROM crunch with feet off floor,,,,,,,,,
half ROM crunch with feet on floor,,,,,,,,,
half ROM twist crunch,,,,,,,,,
half squat hold,,,,,,,,,
half squat with front kick,,,,,,,,,
half sumo squat hold,,,,,,,,,
half up down plank jack combo,,,,,,,,,
half up down with modified push up,,,,,,,,,
half up down with push up,,,,,,,,,
half up down,,,,,,,,,
half wall sit with arms held out front,,,,,,,,,
half wall sit with foam roll,,,,,,,,,
high knees,,,,,,,,,
hip turns,,,,,,,,,
jogging butt kicks,,,,,,,,,
jumping jacks.good,,,,,,,,,
ladder 2 foot diagonal hops inside,,,,,,,,,
ladder 2 foot diagonal hops on outside,,,,,,,,,
ladder in and out fast feet,,,,,,,,,
ladder in and out hop backwards,,,,,,,,,
ladder in and out hop forward,,,,,,,,,
ladder in and out squat jacks backwards,,,,,,,,,
ladder in and out squat jacks,,,,,,,,,
ladder scissors,,,,,,,,,
ladder single leg diagonal hops inside,,,,,,,,,
lateral flexion shoulder blades down,,,,,,,,,
lateral lunge,,,,,,,,,
lateral skips,,,,,,,,,
linear jump to hack squat,,,,,,,,,
linear low hurdle with no jump turn (do not turn over handle),,,,,,,,,
low hurdle lateral hop,,,,,,,,,
low hurdle single leg lateral hop,,,,,,,,,
low jump squat,,,,,,,,,
low lateral skips,,,,,,,,,
low lunge jumps,,,,,,,,,
low speed squat,,,,,,,,,
low sumo jump squat,,,,,,,,,
low sumo squat,,,,,,,,,
lower body bicycle,,,,,,,,,
lower body crunch w sl pelvic lift,,,,,,,,,
lower body crunch,,,,,,,,,
lower body supermans with hands under chin,,,,,,,,,
marching half wall sit,,,,,,,,,
